Sex,Job,Housing,Saving accounts,Credit amount,Duration,Age Bucket,Risk
0,2,2,1,6.80461452,12,0,1
0,1,0,1,7.309881486,12,2,0
0,3,1,1,9.270776741,30,2,0
0,2,0,1,7.567862605,12,2,0
0,2,0,1,7.261225092,12,1,0
0,1,0,1,8.789964651,24,0,0
0,2,0,4,7.253470383,12,2,0
0,2,0,0,8.030734924,9,1,0
1,1,0,0,8.251924714,36,2,0
0,2,0,1,8.574140472,27,2,1
0,3,0,1,7.553810852,30,3,1
0,2,0,0,8.114324709,36,2,0
1,1,0,0,6.837332815,6,2,0
0,2,0,1,8.040446881,18,1,0
0,2,0,1,8.272059622,36,0,0
0,1,2,1,8.013343181,24,0,0
1,2,0,1,7.218176838,10,3,0
0,1,0,1,6.43775165,12,1,0
1,2,2,0,7.090076836,12,0,0
0,2,0,1,6.561030666,12,1,0
0,2,0,0,7.999007213,24,1,0
0,2,0,1,8.446126743,15,1,0
0,2,0,1,7.868254266,36,1,0
0,2,0,4,9.302098797,48,1,1
0,3,1,1,8.970177815,12,2,1
0,2,0,1,7.298445102,9,0,1
0,2,1,1,8.054840221,24,0,0
0,2,0,1,8.345217927,36,1,1
0,1,1,3,7.826842098,9,2,0
0,2,0,2,7.669028289,12,1,0
0,1,0,1,6.763884909,18,0,0
0,1,0,1,7.342131731,4,2,0
0,3,0,1,7.508238775,24,1,1
0,0,0,0,9.585689856,6,0,1
0,1,2,2,7.92551898,21,3,1
1,2,0,1,7.163172391,12,1,0
0,2,0,1,7.832807517,30,2,0
1,2,0,0,6.818924065,24,1,1
0,2,0,1,7.374629015,6,2,0
0,2,1,1,8.434897949,48,0,1
1,2,0,1,7.077498054,12,1,0
1,1,0,3,8.145259567,12,1,0
0,2,0,1,7.137278437,24,0,0
0,2,0,1,6.575075841,12,2,0
0,2,2,2,7.093404626,6,1,0
0,2,0,1,7.562681247,24,1,0
1,2,2,1,6.070737728,18,0,1
1,1,0,4,6.501289671,6,2,0
1,1,0,1,7.719129841,12,2,0
1,2,0,1,7.673223121,30,0,1
0,2,0,2,8.331104548,24,1,0
0,2,0,0,7.615791072,9,0,0
0,1,0,0,8.911664758,60,1,0
0,1,0,1,7.895063498,24,1,0
0,2,1,1,7.672757897,12,1,1
1,2,0,2,8.245909265,15,0,0
1,1,0,2,7.050989447,11,2,0
0,2,0,1,7.412764017,12,1,0
1,2,0,1,7.379632153,24,2,0
0,3,1,1,8.575839387,18,2,0
1,1,1,1,7.918628653,12,2,0
0,1,0,1,7.115582126,10,1,0
0,2,0,1,6.687108608,15,2,1
0,2,0,0,8.748939632,36,2,0
1,2,0,1,7.334981879,24,2,0
0,3,0,1,9.102532419,14,2,1
0,2,0,0,6.906754779,24,0,0
0,2,0,0,7.886832999,18,1,0
1,2,2,3,7.245655068,12,2,0
0,3,1,0,9.406647013,48,2,0
0,2,0,1,8.026170195,48,1,1
0,1,0,1,9.392495248,30,1,1
0,2,0,1,7.899895323,9,1,0
1,2,0,1,7.784889296,18,1,0
0,1,0,0,7.140453043,12,2,0
1,2,0,1,8.436200032,6,1,1
0,3,2,2,7.550135342,24,1,0
0,2,2,4,8.122074375,15,0,0
0,2,0,1,7.361375429,12,2,0
0,1,0,0,7.275864601,18,2,0
0,2,0,0,7.326465614,15,3,0
0,2,0,2,8.263074836,24,2,0
1,1,0,1,9.280052984,47,1,0
0,2,0,1,8.473868067,48,1,0
0,3,1,2,8.933532296,48,1,0
1,2,0,1,6.995766156,12,2,0
0,2,0,1,6.931471806,24,2,1
0,2,0,1,6.981005741,12,1,0
0,3,2,1,9.14825218,36,1,1
1,3,1,1,8.767017621,24,2,0
0,2,1,1,8.475537516,42,2,0
0,3,0,0,8.939712054,48,2,0
1,2,0,1,9.206332351,48,1,1
1,2,2,0,8.449984442,12,0,0
0,1,0,0,7.160069208,10,2,0
0,2,0,1,7.830028083,18,2,0
0,2,0,4,7.917536354,21,1,0
1,0,0,1,6.510258341,6,2,0
1,2,0,1,8.243808424,36,2,1
0,1,0,0,7.203405521,24,2,1
0,2,0,1,6.945051064,10,2,0
0,2,1,3,9.222960403,48,2,1
0,2,0,4,7.341483852,6,1,0
1,1,2,0,8.478660242,30,0,0
0,1,0,2,6.588926478,12,1,1
1,2,0,1,7.120444372,8,0,1
0,1,2,1,5.620400866,9,0,0
0,0,1,0,8.590629509,48,2,0
0,2,0,2,8.614501374,24,0,0
1,2,0,1,8.229244417,24,1,0
0,1,0,1,6.529418838,12,0,1
0,1,0,0,7.309212366,4,1,0
0,2,0,1,7.917900586,36,1,1
0,1,0,1,6.562444094,12,2,0
1,1,0,0,8.378160983,24,2,0
0,2,0,1,6.552507887,12,1,0
1,1,0,1,8.200562797,15,1,0
0,3,0,1,8.35443894,30,1,1
0,2,0,1,7.569411792,24,1,1
0,3,1,1,7.97590836,24,1,0
0,2,0,4,7.885705391,18,1,0
1,2,0,1,6.935370446,18,2,0
0,1,0,1,8.130942302,8,2,0
0,2,2,0,8.665785595,12,2,0
1,2,0,4,7.329749689,24,1,0
0,2,0,1,8.405814603,36,1,0
0,2,0,1,6.97354302,6,1,0
0,3,1,1,8.797095077,24,3,0
1,2,0,2,7.530479995,18,1,1
1,3,0,2,8.910315776,60,0,1
1,1,2,2,9.357897936,48,0,1
0,2,2,1,8.321178307,24,0,1
0,3,2,1,8.126813721,6,2,1
1,1,0,1,7.650168701,13,0,0
1,2,2,0,7.150701458,15,0,1
0,2,0,1,8.335431478,24,1,0
0,1,0,1,7.327123292,10,1,0
1,2,1,1,8.655737001,24,0,0
1,1,2,1,8.188411308,21,1,0
0,2,2,3,8.074960359,18,0,0
0,3,0,1,8.398184405,18,1,0
0,1,0,1,8.281217661,10,2,0
1,1,0,1,7.285506549,15,2,0
0,2,0,1,6.782192056,13,0,0
1,0,2,3,8.23164218,24,0,0
0,1,0,2,7.463363046,6,1,0
0,2,1,4,7.035268599,9,1,1
1,2,2,1,7.119635638,9,0,0
1,2,0,1,6.865891075,9,1,1
0,3,0,0,8.079927771,18,2,0
0,2,2,1,8.732143268,12,1,1
0,2,1,3,6.588926478,10,2,0
0,1,0,1,7.127693699,24,0,1
0,2,0,0,7.754052639,12,2,0
0,3,0,1,8.403576465,36,1,1
0,2,0,1,6.65415252,12,1,0
1,2,2,1,7.785720897,30,0,1
0,2,1,0,7.122059882,18,3,0
0,3,0,0,8.13123655,12,2,0
1,2,0,1,7.717351272,12,2,0
0,2,2,1,7.476472381,6,0,0
0,0,0,1,7.813187268,18,0,1
0,2,0,1,7.340835554,12,2,0
0,2,0,1,8.255828427,18,1,0
1,2,2,1,8.202482447,18,0,0
0,2,0,1,8.144969417,36,2,1
1,2,2,1,8.006700845,18,2,0
0,2,0,0,8.032360148,36,2,0
0,2,0,1,8.711113884,18,1,0
1,2,2,1,7.671360923,10,0,0
0,3,1,0,9.529230372,60,3,0
1,3,1,2,9.601165503,60,2,1
1,2,2,1,8.947025656,48,2,1
0,2,0,1,7.749322465,18,1,0
0,2,1,0,6.74051936,7,2,0
0,3,1,1,9.569272766,36,2,1
1,1,0,2,5.891644212,6,2,0
0,2,0,0,7.701652363,20,2,0
1,3,1,1,9.470856776,18,2,1
1,2,2,0,7.156956365,22,0,0
0,2,0,1,7.192934221,12,1,0
0,1,0,2,8.359837381,30,1,0
1,2,0,1,7.713337889,18,0,0
1,2,2,0,7.026426809,18,0,0
0,3,0,1,8.905715579,18,2,0
0,2,0,3,7.751905333,15,1,0
1,2,0,1,7.278628942,9,1,0
0,3,0,1,7.50659178,18,1,0
1,1,2,4,6.89060912,12,0,0
0,3,1,1,8.086102536,36,2,0
1,2,0,1,7.579167967,6,1,0
0,3,0,1,7.785720897,9,1,0
0,2,2,2,9.372459221,39,1,0
1,3,1,1,7.854769183,12,2,0
0,2,0,1,7.761319181,36,2,0
0,2,2,1,7.109062136,12,2,1
1,1,0,4,7.323830566,24,2,0
0,2,0,1,7.295056416,18,2,0
0,2,0,0,7.542743545,18,1,0
0,2,0,1,9.065083359,24,1,1
0,1,0,1,6.687108608,14,1,0
0,2,0,0,7.972121129,18,2,0
0,2,0,1,7.620214771,24,0,1
0,2,0,0,7.694848072,24,2,0
0,2,0,1,6.959398512,15,1,0
0,3,0,3,8.081784207,24,1,0
0,2,0,3,6.844815479,12,1,1
1,2,0,1,7.584264818,24,0,0
0,3,0,1,8.889170455,33,1,0
0,3,0,1,7.737180078,12,2,1
0,1,2,3,7.375882148,10,2,0
1,2,0,0,7.230563153,24,1,1
0,2,0,1,8.672828483,36,1,0
0,1,0,1,7.855157006,12,1,1
1,2,2,0,9.044403844,18,0,0
1,3,0,3,7.930925372,21,1,0
1,2,0,0,6.948897222,18,1,1
1,2,2,4,8.06652149,15,0,0
0,2,0,0,7.614805365,12,1,0
0,1,0,1,6.864847778,12,2,0
0,3,0,2,7.372118028,21,1,0
1,2,0,0,7.923710334,12,0,1
0,2,2,1,7.92984643,18,0,0
0,2,0,1,7.916807491,28,1,0
0,2,0,4,7.046647278,18,2,0
0,2,0,1,7.180069874,9,0,0
1,0,1,1,7.081708586,18,2,1
0,1,0,1,8.145549632,5,3,0
0,3,0,1,9.335032816,24,1,1
0,3,1,1,7.534762657,6,2,0
0,2,0,1,7.629489916,24,1,0
0,2,0,1,7.6666902,9,0,0
0,2,0,0,7.302496424,12,0,1
0,1,2,3,6.492239835,6,0,0
1,2,0,4,7.160069208,24,2,0
0,0,0,1,8.129764446,42,3,0
1,0,0,1,6.411818268,12,1,1
0,3,0,1,7.541152455,12,2,0
1,2,0,1,7.390181428,12,1,0
0,2,0,1,7.874358825,20,1,0
0,1,0,1,6.577861358,12,2,1
1,3,0,1,8.536211197,48,1,1
1,1,2,0,7.126087273,9,2,0
1,2,0,1,7.518607217,36,1,1
0,2,0,1,7.853993087,7,1,0
1,3,0,0,7.261225092,12,2,0
0,2,0,4,7.321188557,15,3,1
0,3,0,0,9.310547632,36,1,0
1,2,0,1,6.249975242,6,1,0
0,2,0,1,7.922623574,12,1,0
0,3,0,1,7.889833751,24,1,0
0,2,0,1,8.479906607,24,1,1
1,3,0,1,7.89319887,24,1,0
0,2,2,1,8.270013062,11,2,0
0,2,1,1,8.127404563,12,1,1
1,2,0,1,5.837730447,6,1,0
0,2,0,1,8.432506383,18,1,0
0,2,0,1,8.194229305,36,2,0
0,2,0,1,7.450660796,15,2,0
1,3,2,1,8.012018239,12,1,0
0,2,0,0,6.625392368,12,2,0
0,2,0,1,7.575584652,18,1,0
0,2,0,1,7.980707821,24,3,0
1,1,2,1,7.41397029,24,1,1
0,2,0,0,8.887100204,48,1,0
1,2,0,1,7.924434185,33,1,0
0,1,0,1,8.450839691,24,1,0
0,2,2,2,8.03657341,24,0,1
1,2,0,1,6.104793232,6,0,1
0,1,0,1,6.483107351,9,1,1
0,3,0,0,7.121252453,6,2,0
0,2,0,1,7.126890809,18,1,1
1,2,2,1,8.043663352,18,1,1
0,2,0,3,7.851271997,39,0,0
0,2,0,1,8.547140268,24,0,0
0,1,0,2,6.944087208,12,2,0
0,2,0,1,7.298445102,15,2,0
1,1,0,1,8.181160858,12,0,0
0,2,0,1,7.090909822,24,1,0
1,2,2,4,8.194781638,30,2,0
1,2,0,4,6.866933284,15,1,0
0,2,0,3,7.058758153,12,2,0
0,3,0,1,7.097548851,6,2,1
0,2,0,1,8.031710375,12,2,0
1,2,1,1,8.231376046,24,3,0
0,1,2,2,7.257002707,10,1,0
0,2,2,1,8.165647925,6,1,0
0,2,0,1,7.567345676,12,1,0
1,3,1,1,9.02617712,27,2,1
1,2,0,2,7.120444372,6,1,0
0,2,0,0,5.908082938,6,2,0
0,1,2,1,7.660114319,12,2,0
0,2,0,0,8.005033345,24,0,1
0,3,2,2,9.108750516,36,1,1
0,2,0,1,7.368339686,24,2,0
0,1,0,1,7.170888479,18,1,0
0,2,0,2,7.187657164,6,1,0
1,2,0,1,8.046549357,24,1,1
0,2,1,1,8.611229833,36,2,0
0,2,0,2,7.026426809,9,2,0
0,2,0,2,7.103322063,24,2,1
1,2,2,1,7.095893221,24,0,1
0,1,0,0,7.177018766,10,1,1
0,2,0,3,7.766416898,15,2,0
0,3,0,2,8.832003931,15,1,1
0,2,0,1,7.253470383,24,1,0
0,3,0,2,9.058121159,39,2,0
0,2,0,1,6.632001777,12,1,1
0,3,1,1,8.452334619,36,1,0
0,2,2,1,7.896180609,15,1,0
0,2,2,1,6.371611847,12,0,0
0,2,0,0,7.720905252,24,2,0
1,2,0,1,6.411818268,6,2,0
0,1,0,1,7.215975003,6,2,0
1,2,2,1,8.871645668,36,0,1
0,2,0,2,7.092573716,6,2,0
0,2,1,0,6.551080335,6,2,0
0,2,1,1,8.613775289,24,2,0
1,2,0,1,8.067776196,18,0,1
0,2,1,1,8.870522545,48,2,1
1,2,0,2,8.157083785,24,0,0
1,1,0,1,7.014814351,18,1,0
0,2,0,1,8.982937764,26,1,0
1,2,0,2,7.33432935,15,1,0
0,1,0,1,7.31521839,4,2,0
0,2,2,1,7.741533589,36,1,1
0,1,0,1,6.495265556,6,2,0
0,2,0,1,7.728855824,36,1,0
1,2,2,2,7.875119281,15,1,1
0,2,2,1,7.31521839,12,2,0
0,2,0,2,7.178545484,24,1,0
0,2,0,0,8.040768994,24,0,0
0,2,2,1,7.748891337,21,1,1
1,3,0,0,7.225481473,6,3,0
1,2,0,1,8.192016915,18,2,0
0,3,1,1,8.957124136,48,2,1
1,1,0,1,8.022568947,18,2,0
0,2,2,1,7.335633982,12,0,1
0,2,1,1,7.616775809,24,2,0
0,2,0,0,8.756210092,30,1,1
0,1,0,1,7.959974528,18,1,1
0,1,0,1,7.134890852,12,3,0
0,2,1,1,7.19518732,24,2,1
1,2,0,1,7.6118424,24,2,0
0,2,0,1,7.347299701,24,1,0
1,1,0,1,6.439350371,12,0,1
0,2,1,0,9.089076284,48,1,0
1,2,0,0,6.903747258,12,0,0
0,1,0,3,7.467371067,6,2,0
0,2,0,1,8.853522561,48,1,1
0,2,0,2,7.598399329,12,1,0
1,3,0,1,7.089243155,9,3,0
0,2,0,1,7.193685818,12,0,1
1,2,0,2,7.731053144,18,1,1
1,2,0,0,8.517793011,21,1,1
0,2,0,1,8.175266104,24,1,1
0,1,0,1,7.564238475,18,1,1
0,2,1,0,7.994294986,24,2,0
0,1,2,1,7.343426229,24,0,1
1,2,0,1,6.52649486,6,1,0
0,2,1,0,9.424564261,36,2,1
0,3,0,0,8.457867725,24,2,0
1,2,2,2,7.347943823,24,0,0
0,2,0,1,7.224024808,12,2,1
0,2,0,4,7.854769183,24,1,0
0,2,0,0,8.28878581,48,2,0
1,2,0,1,8.818482267,48,1,1
1,1,2,1,8.08147504,24,0,1
0,2,0,1,8.691818542,30,2,0
1,3,2,0,8.600246747,24,1,0
1,1,0,1,6.692083743,15,0,0
0,1,0,1,6.986566459,9,1,0
1,2,0,1,7.933079772,15,0,0
1,2,0,1,7.982757702,12,1,0
1,2,0,0,7.563719668,24,1,0
0,2,0,1,7.944492164,36,1,1
0,1,0,1,6.842683282,24,1,0
0,2,0,1,6.962243464,18,1,1
0,1,0,1,8.046869511,12,2,0
1,2,2,1,7.235619141,9,1,0
0,1,2,1,7.776535028,36,1,1
1,3,1,0,7.665284718,12,2,0
1,2,2,1,7.620214771,18,0,1
0,2,2,1,7.93701749,9,2,0
0,1,0,1,7.161622003,12,0,0
0,1,0,1,7.104144093,18,2,1
0,2,0,1,7.716906135,12,2,1
1,1,0,1,5.953243334,12,2,0
1,2,2,0,7.583247524,24,2,0
1,1,0,4,7.360103973,21,2,0
1,1,2,1,7.907651595,24,0,1
0,3,0,0,7.213768308,24,2,1
1,1,0,2,6.836259277,6,1,1
1,2,2,1,7.273786318,24,0,1
0,1,0,1,8.352554369,24,2,1
0,2,0,1,7.928406026,18,1,1
0,2,1,1,8.259199363,24,1,0
1,2,0,1,7.75319427,7,2,0
1,2,0,1,6.822197391,9,1,1
1,1,1,1,7.515889085,24,1,1
1,3,0,1,8.116417073,36,1,1
1,2,0,1,7.150701458,10,0,0
0,2,0,3,7.947325027,24,0,0
0,3,0,1,8.417593826,24,3,0
1,2,1,2,7.890208213,36,2,1
0,2,0,1,7.626082758,18,1,0
0,2,1,0,7.170119543,15,2,0
1,2,0,2,6.608000625,12,0,1
1,1,1,2,7.122866659,10,2,1
1,2,0,4,8.118802997,21,1,0
1,2,2,1,8.19753874,24,0,0
1,2,0,1,7.499976541,18,0,1
0,3,0,0,9.409519046,48,2,0
0,3,1,0,9.122273893,60,1,0
0,2,2,1,8.209580483,6,2,0
1,2,2,2,8.143517406,30,0,1
0,1,0,1,6.461468176,12,2,0
0,2,0,1,8.203030242,21,1,0
0,2,0,1,7.333023014,18,1,1
0,2,0,0,8.272315148,48,2,1
1,2,2,1,7.527255919,12,0,0
0,2,1,1,7.863266724,18,3,1
0,2,0,0,7.590346946,15,1,0
0,2,0,1,7.657282793,6,2,0
0,2,0,2,7.270312886,9,1,1
0,2,0,3,8.304494898,42,2,0
0,1,0,0,8.251142139,9,3,0
1,2,0,1,8.205218426,24,1,0
0,2,0,1,7.347943823,18,2,1
0,2,0,0,7.275172319,15,0,0
1,2,2,1,7.590852124,9,0,1
1,1,0,1,7.211556733,24,0,1
0,2,0,1,7.239214974,12,2,0
1,2,0,3,7.226936018,24,1,0
0,2,0,1,9.658417871,60,0,0
1,2,0,1,7.308542798,12,1,0
0,2,0,1,8.382518288,42,1,1
1,0,0,1,6.620073207,18,1,1
0,1,0,1,7.176254532,15,2,0
0,3,0,2,8.438799124,15,2,1
0,2,0,1,7.523481313,24,1,0
0,3,0,1,7.539027056,18,1,0
0,2,2,0,8.98469369,36,1,1
0,2,0,1,8.430109085,30,1,0
1,2,0,3,7.23417718,12,1,1
0,2,1,1,6.853299093,24,2,1
0,1,2,1,6.527957918,12,2,1
0,3,1,1,8.919453169,48,2,0
0,1,0,1,7.56112159,12,2,1
0,2,0,1,7.7419679,24,2,1
0,3,0,2,8.99788945,36,2,1
0,2,0,1,7.760467029,24,1,0
0,2,1,1,8.287276756,14,0,0
0,1,0,1,6.788971743,12,2,1
0,2,0,0,9.232297539,48,2,0
1,2,0,1,8.347827346,30,1,0
0,2,0,1,8.757940877,18,2,0
0,2,2,1,7.167809184,12,0,0
0,2,0,0,6.802394763,12,0,1
0,2,0,1,7.714677474,21,2,0
0,3,0,1,6.956545443,6,1,0
1,1,0,1,6.953684211,6,2,0
0,3,0,1,8.750524669,24,1,0
0,2,0,4,8.159374737,30,1,0
1,2,0,1,8.191186005,48,1,0
0,2,2,1,8.485289642,12,2,1
0,2,0,1,8.012018239,30,2,0
0,1,0,2,8.328209492,24,1,0
0,2,0,2,8.655562861,36,1,0
0,3,0,1,9.246286499,60,2,0
0,2,0,3,7.640123173,6,0,0
0,1,0,3,7.855544678,21,2,1
1,3,2,1,8.418477218,30,1,0
0,2,0,1,8.546751994,24,1,0
0,2,0,2,8.629628621,72,0,1
0,1,2,1,7.776535028,24,3,0
1,2,0,1,7.281385664,18,1,0
1,2,0,1,7.33823815,6,2,0
0,2,1,0,7.731492029,12,2,0
0,2,0,1,7.298445102,15,1,0
0,2,1,1,8.537583881,24,2,0
0,1,0,2,9.195937142,36,1,0
0,2,1,0,8.783702699,60,1,0
0,2,0,0,7.205635176,10,1,0
0,2,1,2,7.95927596,36,1,0
0,2,0,2,7.920446505,9,1,0
0,2,0,4,8.202756382,12,1,0
0,2,0,1,6.882437471,15,0,0
1,1,0,2,7.875119281,15,0,0
0,2,0,2,7.971085754,24,1,0
0,1,0,0,8.458716262,6,2,0
0,2,0,1,7.733683571,24,1,0
0,2,2,3,7.119635638,6,2,0
